Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Internal Lead Shield","Fused Quartz Capillary Tubing","High-purity quartz tube protecting the platinum electrode from gas arcing and providing structural support.","mechanical","structural",1,1.20,1.20,"https://www.amazon.com/s?k=fused+quartz+tubing+6mm"
"Base Locking Screws","M2.5 Hex Socket Set Screws","Stainless steel set screws for securing the aluminum chassis to the ceramic collar.","mechanical","misc",4,0.15,0.60,"https://www.amazon.com/s?k=M2.5+set+screws"
"Ultra-Pure Argon Fill","Research Grade Argon 99.9999%","Atmospheric replacement to prevent oxidation of the zirconia and platinum elements.","mechanical","misc",1,65.00,65.00,"https://www.airgas.com/p/AR-RS300"
"Hydrogen/Oxygen Getter","SAES Getters St172 Sintered Porous Getter","Chemical pump to capture outgassed water vapor and oxygen inside the sealed globe.","mechanical","other",1,45.00,45.00,"https://www.saesgetters.com/products/getters-electronic-devices"
"Hydrogen/Oxygen Getter","SAES Getters St172 Sintered Porous Getter","Chemical pump to capture outgassed water vapor and oxygen inside the sealed globe.","mechanical","other",1,45.00,45.00,"https://www.saesgetters.com/products/getters-electronic-devices"
"High-Temp Silicone","Permatex Red High-Temp RTV Silicone","Fast-curing sealant for structural bonding and sealing up to 650F.","mechanical","misc",1,9.50,9.50,"https://www.amazon.com/s?k=high+temp+rtv+silicone"
"Qi Wireless Module","Adafruit Universal Qi Wireless Receiver","Integrated 250kHz resonant charging module with rectified output.","electrical","module",1,15.00,15.00,"https://www.adafruit.com/product/1901"
"Dycenian Frosted Globe","Borosilicate Globe with Dy-Doped Frosted Finish","Custom frosted borosilicate glass globe embedded with Dycenian pigment to shift spectrum toward 4500K.","mechanical","enclosure",1,42.00,42.00,"https://www.custom-glass-solutions.com"
"Capacitive Return Mesh","Fine Copper Wire Mesh 100x100","External capacitive coupling sleeve that wraps around the globe neck to complete the RF circuit.","electrical","other",1,8.25,8.25,"https://www.amazon.com/s?k=copper+wire+mesh+fine"
"UV-C Discharge Tube","G5 T5 4W UV-C Germicidal Bulb","Low-pressure mercury vapor tube used as the ionizable gas source.","electrical","other",1,8.50,8.50,"https://www.amazon.com/s?k=4W+UVC+germicidal+lamp"
"Bias Resistor","1k Ohm 2W Metal Film Resistor","","electrical","other",1,0.50,0.50,"https://www.digikey.com/en/products/filter/resistors/7"
"Resonant Tank Capacitor","0.1uF 630V Polypropylene Film","","electrical","other",1,1.80,1.80,"https://www.digikey.com/en/products/filter/capacitors/film-capacitors/62"
"Silver Doped Ceramic Puck","Ceramic Disk with Ag-Nanoparticle Coating","High-temperature ceramic puck doped with silver nanoparticles for Ag-line spectral emission.","electrical","other",1,25.00,25.00,"https://www.sigmaaldrich.com/US/en/search/silver-nanoparticles"
"Gold Doped Ceramic Puck","Ceramic Disk with Au-Nanoparticle Coating","High-temperature ceramic puck doped with gold nanoparticles for Au-line spectral emission.","electrical","other",1,35.00,35.00,"https://www.sigmaaldrich.com/US/en/search/gold-nanoparticles"
"Noble Gas Tube (Silver Excitation)","Krypton-filled Borosilicate Discharge Tube","A secondary discharge tube filled with Krypton to assist in the excitation of silver vapor.","electrical","other",1,18.00,18.00,"https://www.neon-tubing.com"
"Noble Gas Tube (Gold Excitation)","Xenon-filled Borosilicate Discharge Tube","A secondary discharge tube filled with Xenon to assist in the excitation of gold vapor.","electrical","other",1,22.00,22.00,"https://www.neon-tubing.com"
"E65 Ferrite Core Transformer","Custom E65/32/27 N87 Ferrite Transformer","Large E65-core transformer optimized for 200W throughput at 250kHz resonant frequencies.","electrical","power",1,115.00,115.00,"https://www.digikey.com/en/products/filter/transformers/pulse-transformers/164"
"48V 300W Boost Converter","300W DC-DC Step-Up Converter Module","High-power boost module providing 48V rail for the full-bridge SiC inverter.","electrical","power",1,22.50,22.50,"https://www.amazon.com/s?k=300W+boost+converter+48V"
"4x Volume Zirconia Lattice","High-Volume YSZ Ceramic Lattice (Custom Print)","Expanded volume ceramic lattice for increased plasma emission surface area.","mechanical","structural",1,240.00,240.00,"https://www.admatec.nl/materials/zirconia"
"50F Supercapacitor Module","50F 5.5V Supercapacitor Module","Single 50F backup capacitor module to replace the high-capacity bank.","electrical","power",1,12.50,12.50,"https://www.digikey.com/en/products/filter/capacitors/supercapacitors-double-layer-capacitors-edlc-li-cap/61"
"GaN Power IC","Navitas NV6128 GaNFast Power IC","Integrated GaN-on-Si power stage replacing the discrete SiC bridge.","electrical","power",1,9.50,9.50,"https://www.mouser.com/c/semiconductors/discrete-semiconductors/transistors/mosfets/gan-transisitors/"
"Extruded Finned Chassis","Custom 6063 Aluminum Finned Housing","Integrated aluminum chassis providing structural support and passive cooling.","mechanical","structural",1,15.00,15.00,"https://www.alibaba.com/showroom/extruded-aluminum-fin-heatsink.html"
"Integrated LCP Base","Injection Molded LCP E26 Threaded Base","One-piece Liquid Crystal Polymer base integrating threads and thermal isolation.","mechanical","structural",1,3.50,3.50,"https://www.plasticmolding.com/materials/lcp/"
"GTM Ferrules","Kovar Glass-to-Metal Transition Ferrules","Automated ferrules for high-volume glass-to-metal sealing.","electrical","other",2,4.00,8.00,"https://www.hermeticseal.com/products/glass-to-metal-seals"